tournament;match_id;game_in_series;teamA;teamB;win;date
Esports World Cup 2025;1;1;Gen.G eSports;Anyone s Legend;1;2025-07-20
Esports World Cup 2025;1;2;Gen.G eSports;Anyone s Legend;1;2025-07-20
Esports World Cup 2025;1;3;Gen.G eSports;Anyone s Legend;0;2025-07-20
Esports World Cup 2025;1;4;Gen.G eSports;Anyone s Legend;0;2025-07-20
Esports World Cup 2025;1;5;Gen.G eSports;Anyone s Legend;1;2025-07-20
Esports World Cup 2025;2;1;T1;G2 Esports;1;2025-07-20
Esports World Cup 2025;2;2;T1;G2 Esports;1;2025-07-20
Esports World Cup 2025;3;1;G2 Esports;Gen.G eSports;1;2025-07-19
Esports World Cup 2025;3;2;G2 Esports;Gen.G eSports;0;2025-07-19
Esports World Cup 2025;4;1;Anyone s Legend;T1;1;2025-07-19
Esports World Cup 2025;4;2;Anyone s Legend;T1;1;2025-07-19
Esports World Cup 2025;5;1;FlyQuest;Gen.G eSports;0;2025-07-18
Esports World Cup 2025;6;1;T1;Movistar KOI;1;2025-07-18
Esports World Cup 2025;6;2;T1;Movistar KOI;0;2025-07-18
Esports World Cup 2025;6;3;T1;Movistar KOI;1;2025-07-18
Esports World Cup 2025;7;1;G2 Esports;Bilibili Gaming;1;2025-07-17
Esports World Cup 2025;7;2;G2 Esports;Bilibili Gaming;1;2025-07-17
Esports World Cup 2025;8;1;Anyone s Legend;Hanwha Life eSports;1;2025-07-17
Esports World Cup 2025;8;2;Anyone s Legend;Hanwha Life eSports;0;2025-07-17
Esports World Cup 2025;8;3;Anyone s Legend;Hanwha Life eSports;1;2025-07-17
Esports World Cup 2025;9;1;FlyQuest;FURIA;1;2025-07-17
Esports World Cup 2025;10;1;Movistar KOI;CTBC Flying Oyster;1;2025-07-17
Esports World Cup 2025;11;1;Cloud9;FURIA;0;2025-07-16
Esports World Cup 2025;12;1;GAM Esports;CTBC Flying Oyster;0;2025-07-16
Esports World Cup 2025;13;1;FlyQuest;G2 Esports;0;2025-07-16
Esports World Cup 2025;14;1;Hanwha Life eSports;Movistar KOI;1;2025-07-16
Esports World Cup 2025;15;1;FlyQuest;Cloud9;1;2025-07-16
Esports World Cup 2025;16;1;G2 Esports;FURIA;1;2025-07-16
Esports World Cup 2025;17;1;Movistar KOI;GAM Esports;1;2025-07-16
Esports World Cup 2025;18;1;Hanwha Life eSports;CTBC Flying Oyster;1;2025-07-16
