tournament,date,Team,GP,AGT,KD,CKPM,GPR,GSPD,EGR,MLR,GD15,FB%,FT%,F3T%,PPG,HLD%,GRB%,FD%,DRG%,ELD%,FBN%,BN%,LNE%,JNG%,WPM,CWPM,WCPM,winrate%
First Stand 2025,2025-03-10,Hanwha Life Esports,2,30.3,2.85,0.83,0.89,0.08800000000000001,52.7,47.3,255,0.5,0.0,1.0,5.0,0.0,0.42,0.0,0.63,,1.0,1.0,0.511,0.5,3.5,1.31,1.53,1.0
First Stand 2025,2025-03-10,Karmine Corp,3,29.9,0.57,0.77,-0.14,-0.015,51.4,-18.0,155,0.67,0.67,0.67,4.3,0.67,0.72,0.33,0.38,,0.0,0.0,0.51,0.495,3.12,1.27,1.55,0.3333333333333333
First Stand 2025,2025-03-10,Team Liquid,3,29.9,1.76,0.77,0.14,0.015,48.6,18.0,-155,0.33,0.33,0.33,3.3,0.33,0.28,0.67,0.62,,0.67,1.0,0.49,0.505,3.14,1.05,1.51,0.6666666666666666
First Stand 2025,2025-03-10,Top Esports,2,30.3,0.35,0.83,-0.89,-0.08800000000000001,47.3,-47.3,-255,0.5,1.0,0.0,6.0,1.0,0.58,1.0,0.38,,0.0,0.0,0.489,0.5,3.16,1.28,1.4,0.0
First Stand 2025,2025-03-11,CTBC Flying Oyster,2,31.9,2.31,0.83,1.52,0.07400000000000001,68.6,31.4,1357,1.0,1.0,1.0,2.5,1.0,0.5,0.5,0.75,,1.0,1.0,0.49700000000000005,0.49,3.71,1.57,1.63,1.0
First Stand 2025,2025-03-11,Hanwha Life Esports,2,30.3,2.85,0.83,0.89,0.08800000000000001,52.7,47.3,255,0.5,0.0,1.0,5.0,0.0,0.42,0.0,0.63,,1.0,1.0,0.511,0.5,3.5,1.31,1.53,1.0
First Stand 2025,2025-03-11,Karmine Corp,5,30.7,0.51,0.79,-0.7,-0.039,43.4,-23.4,-450,0.4,0.4,0.4,3.8,0.4,0.63,0.4,0.33,,0.0,0.0,0.507,0.501,3.12,1.19,1.56,0.2
First Stand 2025,2025-03-11,Team Liquid,5,29.6,0.85,0.91,-1.06,-0.068,38.4,1.6,-915,0.2,0.2,0.2,2.8,0.2,0.17,0.6,0.5,,0.4,0.67,0.489,0.47200000000000003,3.2,1.17,1.43,0.4
First Stand 2025,2025-03-11,Top Esports,4,29.7,1.11,0.98,0.99,0.052000000000000005,62.2,-12.2,901,0.75,1.0,0.5,5.0,1.0,0.79,0.75,0.54,,0.25,0.33,0.5,0.539,3.15,1.25,1.5,0.5
First Stand 2025,2025-03-12,CTBC Flying Oyster,4,28.9,0.91,0.94,-0.47,-0.037000000000000005,39.1,10.9,-1395,1.0,0.5,0.5,3.0,0.5,0.33,0.25,0.4,,0.5,0.75,0.491,0.45299999999999996,3.66,1.42,1.44,0.5
First Stand 2025,2025-03-12,Hanwha Life Esports,4,28.1,2.69,0.94,1.82,0.11800000000000001,71.5,28.5,2201,0.25,0.5,1.0,6.5,0.5,0.63,0.5,0.8,,0.75,1.0,0.513,0.542,3.47,1.26,1.48,1.0
First Stand 2025,2025-03-12,Karmine Corp,7,30.9,0.9,0.9,-0.28,-0.006,46.4,-3.6,-379,0.57,0.43,0.29,3.7,0.43,0.5,0.57,0.48,1.0,0.29,0.29,0.503,0.49,3.21,1.23,1.55,0.42857142857142855
First Stand 2025,2025-03-12,Team Liquid,5,29.6,0.85,0.91,-1.06,-0.068,38.4,1.6,-915,0.2,0.2,0.2,2.8,0.2,0.17,0.6,0.5,,0.4,0.67,0.489,0.47200000000000003,3.2,1.17,1.43,0.4
First Stand 2025,2025-03-12,Top Esports,6,30.3,0.77,1.03,0.39,0.01,56.8,-23.4,668,0.5,0.83,0.67,4.5,0.83,0.81,0.5,0.38,0.0,0.17,0.2,0.502,0.539,3.12,1.3,1.6,0.3333333333333333
First Stand 2025,2025-03-13,CTBC Flying Oyster,6,29.7,1.18,0.88,-0.06,-0.002,44.7,21.9,-906,0.67,0.67,0.67,2.8,0.5,0.36,0.33,0.57,,0.67,0.83,0.496,0.479,3.62,1.42,1.48,0.6666666666666666
First Stand 2025,2025-03-13,Hanwha Life Esports,7,31.3,1.91,0.98,1.62,0.10800000000000001,66.9,18.9,1713,0.43,0.71,1.0,6.0,0.57,0.62,0.43,0.75,0.0,0.71,0.75,0.507,0.565,3.53,1.31,1.65,0.8571428571428571
First Stand 2025,2025-03-13,Karmine Corp,10,32.3,0.83,0.93,-0.66,-0.033,44.3,-4.3,-584,0.5,0.3,0.2,3.3,0.4,0.47,0.6,0.43,1.0,0.3,0.33,0.503,0.46399999999999997,3.31,1.23,1.55,0.4
First Stand 2025,2025-03-13,Team Liquid,7,30.1,0.72,0.86,-0.95,-0.068,40.0,-11.4,-674,0.43,0.14,0.14,2.4,0.29,0.29,0.57,0.38,,0.29,0.4,0.49,0.47200000000000003,3.29,1.2,1.53,0.2857142857142857
First Stand 2025,2025-03-13,Top Esports,6,30.3,0.77,1.03,0.39,0.01,56.8,-23.4,668,0.5,0.83,0.67,4.5,0.83,0.81,0.5,0.38,0.0,0.17,0.2,0.502,0.539,3.12,1.3,1.6,0.3333333333333333
First Stand 2025,2025-03-14,CTBC Flying Oyster,8,29.9,1.44,0.88,0.29,0.027999999999999997,53.4,21.6,-17,0.5,0.75,0.75,4.9,0.5,0.4,0.38,0.56,,0.63,0.86,0.496,0.47700000000000004,3.69,1.46,1.45,0.75
First Stand 2025,2025-03-14,Hanwha Life Esports,10,30.9,1.81,1.0,1.41,0.126,56.6,23.4,1042,0.3,0.7,1.0,4.5,0.6,0.52,0.4,0.63,0.0,0.7,0.8,0.511,0.5720000000000001,3.43,1.24,1.61,0.8
First Stand 2025,2025-03-14,Karmine Corp,10,32.3,0.83,0.93,-0.66,-0.033,44.3,-4.3,-584,0.5,0.3,0.2,3.3,0.4,0.47,0.6,0.43,1.0,0.3,0.33,0.503,0.46399999999999997,3.31,1.23,1.55,0.4
First Stand 2025,2025-03-14,Team Liquid,10,30.0,0.67,0.93,-0.93,-0.09699999999999999,48.2,-18.2,-315,0.6,0.2,0.1,2.8,0.3,0.42,0.6,0.47,1.0,0.2,0.29,0.48700000000000004,0.45299999999999996,3.27,1.18,1.51,0.3
First Stand 2025,2025-03-14,Top Esports,8,30.3,0.66,1.0,-0.03,-0.022000000000000002,47.7,-22.7,-162,0.63,0.63,0.5,4.1,0.75,0.73,0.5,0.4,0.0,0.13,0.17,0.503,0.536,3.12,1.29,1.63,0.25
First Stand 2025,2025-03-15,CTBC Flying Oyster,13,31.0,1.12,0.83,-0.21,-0.005,46.0,15.5,-460,0.54,0.54,0.62,4.6,0.54,0.49,0.46,0.53,0.0,0.54,0.62,0.495,0.478,3.64,1.51,1.45,0.6153846153846154
First Stand 2025,2025-03-15,Hanwha Life Esports,13,30.8,1.94,1.05,1.3,0.11699999999999999,57.0,27.6,961,0.46,0.69,0.92,4.2,0.62,0.47,0.46,0.63,0.0,0.69,0.83,0.509,0.555,3.44,1.25,1.56,0.8461538461538461
First Stand 2025,2025-03-15,Karmine Corp,15,32.5,0.96,0.87,-0.12,-0.002,51.5,-4.8,0,0.47,0.47,0.33,3.9,0.4,0.43,0.53,0.46,1.0,0.4,0.44,0.504,0.483,3.31,1.21,1.58,0.4666666666666667
First Stand 2025,2025-03-15,Team Liquid,10,30.0,0.67,0.93,-0.93,-0.09699999999999999,48.2,-18.2,-315,0.6,0.2,0.1,2.8,0.3,0.42,0.6,0.47,1.0,0.2,0.29,0.48700000000000004,0.45299999999999996,3.27,1.18,1.51,0.3
First Stand 2025,2025-03-15,Top Esports,11,30.4,0.58,1.05,-0.27,-0.04,46.0,-27.8,-306,0.45,0.55,0.45,4.0,0.64,0.71,0.45,0.39,0.0,0.09,0.13,0.501,0.527,3.17,1.3,1.61,0.18181818181818182
First Stand 2025,2025-03-16,CTBC Flying Oyster,13,31.0,1.12,0.83,-0.21,-0.005,46.0,15.5,-460,0.54,0.54,0.62,4.6,0.54,0.49,0.46,0.53,0.0,0.54,0.62,0.495,0.478,3.64,1.51,1.45,0.6153846153846154
First Stand 2025,2025-03-16,Hanwha Life Esports,17,31.2,1.89,1.02,1.52,0.11699999999999999,62.4,19.9,1338,0.53,0.76,0.88,4.1,0.59,0.53,0.47,0.66,0.0,0.71,0.82,0.508,0.557,3.42,1.26,1.59,0.8235294117647058
First Stand 2025,2025-03-16,Karmine Corp,19,32.5,0.86,0.89,-0.56,-0.026000000000000002,44.9,-2.8,-540,0.42,0.37,0.32,3.5,0.42,0.4,0.53,0.42,1.0,0.37,0.39,0.503,0.473,3.33,1.22,1.57,0.42105263157894735
First Stand 2025,2025-03-16,Team Liquid,10,30.0,0.67,0.93,-0.93,-0.09699999999999999,48.2,-18.2,-315,0.6,0.2,0.1,2.8,0.3,0.42,0.6,0.47,1.0,0.2,0.29,0.48700000000000004,0.45299999999999996,3.27,1.18,1.51,0.3
First Stand 2025,2025-03-16,Top Esports,11,30.4,0.58,1.05,-0.27,-0.04,46.0,-27.8,-306,0.45,0.55,0.45,4.0,0.64,0.71,0.45,0.39,0.0,0.09,0.13,0.501,0.527,3.17,1.3,1.61,0.18181818181818182
